Date,Car Price,Car Sales,Parts,Services,Accessories,Overall Cost,,
01-Jan-24,"? 25,000.00",10,? 500.00,? 250.00,? 100.00,"? 25,850.00",,
02-Jan-24,"? 25,500.00",12,? 550.00,? 260.00,? 110.00,"? 26,420.00",,
03-Jan-24,"? 26,000.00",15,? 600.00,? 270.00,? 120.00,"? 26,990.00",,
04-Jan-24,"? 26,500.00",18,? 650.00,? 280.00,? 130.00,"? 27,560.00",,
05-Jan-24,"? 27,000.00",20,? 700.00,? 290.00,? 140.00,"? 28,130.00",,
06-Jan-24,"? 27,500.00",22,? 750.00,? 300.00,? 150.00,"? 28,700.00",,
07-Jan-24,"? 28,000.00",25,? 800.00,? 310.00,? 160.00,"? 29,270.00",,
08-Jan-24,"? 28,500.00",28,? 850.00,? 320.00,? 170.00,"? 29,840.00",,
09-Jan-24,"? 29,000.00",30,? 900.00,? 330.00,? 180.00,"? 30,410.00",,
10-Jan-24,"? 29,500.00",32,? 950.00,? 340.00,? 190.00,"? 30,980.00",,
11-Jan-24,"? 30,000.00",35,"? 1,000.00",? 350.00,? 200.00,"? 31,550.00",,
12-Jan-24,"? 30,500.00",38,"? 1,050.00",? 360.00,? 210.00,"? 32,120.00",,
13-Jan-24,"? 31,000.00",11,? 510.00,? 255.00,? 105.00,"? 31,870.00",,
14-Jan-24,"? 31,500.00",13,? 560.00,? 265.00,? 115.00,"? 32,440.00",,
15-Jan-24,"? 32,000.00",16,? 610.00,? 275.00,? 125.00,"? 33,010.00",,
16-Jan-24,"? 32,500.00",19,? 660.00,? 285.00,? 135.00,"? 33,580.00",,
17-Jan-24,"? 33,000.00",21,? 710.00,? 295.00,? 145.00,"? 34,150.00",,
18-Jan-24,"? 33,500.00",23,? 760.00,? 305.00,? 155.00,"? 34,720.00",,
19-Jan-24,"? 34,000.00",26,? 810.00,? 315.00,? 165.00,"? 35,290.00",,
20-Jan-24,"? 34,500.00",29,? 860.00,? 325.00,? 175.00,"? 35,860.00",,
21-Jan-24,"? 35,000.00",31,? 910.00,? 335.00,? 185.00,"? 36,430.00",,
22-Jan-24,"? 35,500.00",34,? 960.00,? 345.00,? 195.00,"? 37,000.00",,
23-Jan-24,"? 36,000.00",36,"? 1,010.00",? 355.00,? 205.00,"? 37,570.00",,
24-Jan-24,"? 36,500.00",39,"? 1,060.00",? 365.00,? 215.00,"? 38,140.00",,
25-Jan-24,"? 37,000.00",14,? 520.00,? 260.00,? 110.00,"? 37,890.00",,
26-Jan-24,"? 37,500.00",17,? 570.00,? 270.00,? 120.00,"? 38,460.00",,
27-Jan-24,"? 38,000.00",20,? 620.00,? 280.00,? 130.00,"? 39,030.00",,
28-Jan-24,"? 38,500.00",23,? 670.00,? 290.00,? 140.00,"? 39,600.00",,
29-Jan-24,"? 39,000.00",25,? 720.00,? 300.00,? 150.00,"? 40,170.00",,
30-Jan-24,"? 39,500.00",28,? 770.00,? 310.00,? 160.00,"? 40,740.00",,
31-Jan-24,"? 40,000.00",31,? 820.00,? 320.00,? 170.00,"? 41,310.00",,
,,,,,,,,
Total,"? 10,07,500.00",741,"? 23,410.00","? 9,410.00","? 4,760.00","? 10,45,080.00",,
TAX,"? 2,01,500.00",? 148.20,"? 4,682.00","? 1,882.00",? 952.00,"? 2,09,016.00",,
TOTAL,"? 12,09,000.00",? 889.20,"? 28,092.00","? 11,292.00","? 5,712.00","? 12,54,096.00",,
,,,,,,,,
FUNCTIONS ,,,,,,,,
Avg,"? 32,500.00",? 23.90,? 755.16,? 303.55,? 153.55,"? 33,712.26",,
Min,"? 25,000.00",? 10.00,? 500.00,? 250.00,? 100.00,"? 25,850.00",,
Max,"? 40,000.00",? 39.00,"? 1,060.00",? 365.00,? 215.00,"? 41,310.00",,
Count,31,31,31,31,31,31,,
Median,"? 32,500.00",? 23.00,? 750.00,? 300.00,? 150.00,"? 33,580.00",,
